json,主導企業名稱,計劃名稱,企業網址,計畫起訖時間,計畫總經費,計畫補助款,計畫自籌款,link
outputs/535.json,聯強國際股份有限公司,聯強國際3C供應鏈維修流ｅ計劃,,"93年1月1日 至 94年12月31日","83,173 仟元","26,000 仟元","57,173 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=535
outputs/536.json,真茂科技股份有限公司,社區健康服務電子化示範計劃,,"92年10月1日 至 93年9月30日","15,091 仟元","6,000 仟元","9,091 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=536
outputs/537.json,財團法人台北醫學大學附設醫院,SARS醫院防疫隔離追蹤資訊系統,,"92年10月1日 至 93年9月30日","32,193 仟元","14,500 仟元","17,693 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=537
outputs/538.json,台北市立萬芳醫院委託財團法人私立台北醫學大學辦理,前瞻性抗SARS知識管理系統,,"92年10月1日 至 93年9月30日","25,183 仟元","10,000 仟元","15,183 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=538
outputs/539.json,和信治癌中心醫院,建立後SARS時期專科醫院的管理模式,,"92年10月1日 至 93年9月30日","34,415 仟元","11,000 仟元","23,415 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=539
outputs/540.json,秀傳紀念醫院,智慧型數位健康網,,"92年10月1日 至 93年9月30日","31,994 仟元","11,000 仟元","20,994 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=540
outputs/541.json,台灣東洋藥品工業股份有限公司,"台灣東洋製藥體系「人體臨床試驗」商業智慧電子化發展計畫(TTY's eCBI)",,"93年2月1日 至 95年1月31日","49,970 仟元","16,000 仟元","33,970 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=541
outputs/542.json,佳和實業股份有限公司,佳和實業全球運籌管理計畫,,"93年7月1日 至 95年9月30日","52,925 仟元","12,600 仟元","40,325 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=542
outputs/543.json,南緯實業股份有限公司,紡織品協同設計管理資訊系統,,"93年4月1日 至 95年3月31日","50,000 仟元","13,500 仟元","36,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=543
outputs/544.json,鼎新電腦股份有限公司,企業營運總部運籌管理電子化參考模式應用研究,,"93年3月1日 至 93年8月31日","10,000 仟元","3,500 仟元","6,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=544
outputs/545.json,瑞軒科技股份有限公司,營運總部全球支援中心,,"93年3月1日 至 95年8月31日","50,000 仟元","15,000 仟元","35,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=545
outputs/546.json,世訊科技股份有限公司,模具研發設計鏈,,"93年5月1日 至 95年4月30日","59,000 仟元","18,000 仟元","41,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=546
outputs/547.json,匯豐汽車股份有限公司,汽車保修專業技術流通體系eCare計畫,,"93年1月1日 至 94年12月31日","66,467 仟元","21,600 仟元","44,867 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=547
outputs/548.json,奇鋐科技股份有限公司,安心計畫,,"93年4月1日 至 95年9月30日","50,000 仟元","17,000 仟元","33,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=548
outputs/549.json,東森得易購股份有限公司,東森購物CRM發展計畫,,"93年5月1日 至 95年4月30日","72,342 仟元","25,000 仟元","47,342 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=549
outputs/550.json,雙葉開發科技股份有限公司,提昇塑模產業設計開發之競爭力先期研計劃,,"93年4月1日 至 93年8月31日","5,400 仟元","2,400 仟元","3,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=550
outputs/551.json,裕隆汽車製造股份有限公司,建構汽車國際製造服務價值鏈,,"93年7月1日 至 95年6月30日","72,000 仟元","25,000 仟元","47,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=551
outputs/552.json,惠普科技股份有限公司,寰淨計畫之惠普WEEE與RoHS高科技產業因應計畫（規劃案）,,"93年3月1日 至 93年6月30日","5,251 仟元","2,500 仟元","2,751 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=552
